OBJECTID,FOLIO,ID,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,EMAIL,TYPE,GRADES,CAPACITY,ENROLLMNT,REGION,LAT,LON,POINT_X,POINT_Y,CREATED BY,CREATED DATE,MODIFIED BY,MODIFIED DATE,GlobalID,x,y
1,0131130880010,7301,Miami Edison Senior High, ,6161 NW 5th Ct, ,Miami,33127,305-751-7337,,S,9-12,1624,591,C,25.83181,-80.20489,917698.250483315,545351.624829508,E316899,6/11/2020 9:42:54 AM,E316042,6/24/2025 11:20:20 AM,3d0a27bb-e1eb-4863-b364-5ab57441da39,-8928367.2938,2978265.0738
2,3040210000312,0441,Blue Lakes K-8 Center, ,9250 SW 52nd Ter, ,Miami-Dade,33165,305-271-7411,,E,PK-8,611,351,S,25.71817,-80.34422,872072.812488824,503797.437526807,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:33:25 AM,8564d17d-3e6e-4b4e-ad0f-98b108a94e29,-8943877.701,2964217.8055
3,0622190070230,0341,Arch Creek Elementary, ,702 NE 137th St, ,North Miami,33161,305-892-4000,,E,PK-5,606,426,N,25.90097,-80.18436,924292.949497458,570530.773140959,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 10:52:42 AM,d2ff5da3-2864-463e-8c0c-c15de8f7d37a,-8926082.663,2986821.1605
4,3049230030790,4741,Royal Green Elementary, ,13047 SW 47th St, ,Miami-Dade,33175,305-221-4452,,E,PK-5,722,379,S,25.7223,-80.40551,851886.642102025,505201.036888115,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:40:34 PM,ff68e484-3bfa-4130-9ae7-c185959f21de,-8950700.5292,2964727.4622
5,3069200000680,6761,Redland Middle, ,16001 SW 248th St, ,Miami-Dade,33031,305-247-6112,,M,6-8,1253,673,S,25.53672,-80.45208,836831.833000004,437688.239897236,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 10:49:15 AM,faca97b3-df34-4518-b597-b348a156fc7a,-8955885.2261,2941815.074
6,0420260010400,4241,Palm Lakes Elementary, ,7450 W 16th Ave, ,Hialeah,33014,305-823-6970,,E,PK-5,978,566,N,25.89043,-80.3163,880940.919505086,566452.779409163,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:40:37 AM,895356c5-913b-4b5c-b577-8c3fddeb1938,-8940769.3759,2985517.1795
7,0341290262210,6741,Ponce de Leon Middle, ,5801 Augusto St, ,Coral Gables,33146,305-661-1611,,M,6-8,1287,781,C,25.71643,-80.27195,895870.865118988,503289.983574331,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:54:03 AM,fb72adbe-a8da-474a-a675-80e653ea284a,-8935832.6295,2964002.9045
8,1122310140320,3341,Miami Shores Elementary, ,10351 NE 5th Ave, ,Miami Shores,33138,305-758-5525,,E,PK-5,714,619,C,25.87037,-80.18724,923414.135288641,559404.832906596,E316899,6/11/2020 9:42:54 AM,E316042,6/24/2025 11:30:37 AM,f3e4e48f-f940-4f0a-97f3-d6ae3cbb890f,-8926403.5669,2983035.6461
9,3031100000370,1681,Lillie C. Evans K-8 Center, ,1895 NW 75th St, ,Miami-Dade,33147,305-691-4973,,E,PK-8,600,268,C,25.8434,-80.22907,909718.907371886,549518.143617384,E316899,6/11/2020 9:42:54 AM,E316042,6/24/2025 10:00:10 AM,9ce54253-2a99-415f-9440-b4c089fea8e6,-8931059.3267,2979699.0107
10,0131360610010,9015,School Board Adm - Main Building, ,1450 NE 2nd Ave, ,Miami,33132,305-995-1106,,A,0,0,0, ,25.78904,-80.19102,922353.640439652,529835.368047059,E316899,6/11/2020 9:42:54 AM,E316899,4/4/2023 3:18:09 PM,60b8ea29-0651-44f3-ba43-6dd90fedb90f,-8926824.1463,2972976.8357
11,3049260000021,7532,Miami Sunset Adult Education, ,13125 SW 72nd St, ,Miami-Dade,33183,305-365-4255,,O,0,0,0, ,25.70156,-80.40421,852348.195766456,497666.1968171,E316899,6/11/2020 9:42:54 AM,E316899,4/3/2023 1:12:14 PM,f8358238-ecf2-4b8b-b186-57411f7fe66a,-8950555.965,2962165.4024
12,0141160210010,7841,English Center, ,3501 SW 28th St, ,Miami,33133,305-445-7731,,O,0,0,0,AC,25.73991,-80.25164,902507.562469169,511859.499870315,E316899,6/11/2020 9:42:54 AM,E316899,3/31/2023 3:40:18 PM,57378787-077d-4c17-ba2e-75d79020a2ff,-8933572.4161,2966903.6656
13,3059220030280,2151,Jack D. Gordon  Elementary, ,14600 Country Walk Dr, ,Miami-Dade,33186,305-234-4805,,E,PK-5,1051,792,S,25.63004,-80.42991,843996.771246675,471633.344312854,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 3:08:01 PM,0a8c09da-79b4-4356-8fe5-36e3fd12fb93,-8953417.1458,2953331.7922
14,0141030361160,9001,Former Region Office/Warehouse,South Central Regional Office,2201 SW 4th St, ,Miami,33135,305-642-7555,,A,0,0,0, ,25.76896,-80.23125,909160.186859366,522455.659880184,E316899,6/11/2020 9:42:54 AM,E316899,3/31/2023 3:49:49 PM,4623c503-084a-4371-9552-9d519f39fb91,-8931301.9241,2970493.7977
15,2332090160001,5481,Treasure Island Elementary, ,7540 E Treasure Dr, ,North Bay Village,33141,305-865-3141,,E,PK-5,915,403,N,25.84661,-80.14668,936809.490437116,550850.838658631,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 2:09:39 PM,dc665da8-7a69-4be4-9019-2d1906babf5b,-8921887.8272,2980095.5513
16,3021330010020,7061,School For Advanced Studies North,Room 111,11380 NW 27th Ave,Room 1111,Miami-Dade,33167,305-237-1089,,S,11-12,0,112,S,25.87793,-80.24566,904190.910694737,562038.300301045,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:42:46 PM,da03bf59-5461-457d-a51f-fdc9599fe827,-8932905.9201,2983971.0744
17,0232020000060,0321,Biscayne Beach Elementary, ,800 77th St, ,Miami Beach,33141,305-868-7727,,E,PK-5,822,536,N,25.86171,-80.12652,943402.609419256,556384.427655779,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:32:08 AM,d9f07190-3af1-4a80-aa02-2875809e949c,-8919643.9579,2981963.9714
18,3059360000040,8911,Robert Morgan Educational Center and Technical College, ,18180 SW 122nd Ave, ,Miami-Dade,33177,305-253-9920,,O,0,0,0,S,25.59915,-80.39007,857177.009594951,460464.87710245,E316899,6/11/2020 9:42:54 AM,E316899,4/3/2023 3:08:46 PM,4837cef6-d7da-4cd9-abd6-1727ffe79a78,-8948981.5143,2949518.357
19,0132310070080,7001,Miami-Dade Online Academy, ,1501 NE 2nd Ave,336,Miami,33132,305-995-1257,,S,K-12,0,317,AC,25.78977,-80.19044,922543.48287183,530100.636527307,E316899,6/11/2020 9:42:54 AM,E316042,6/24/2025 10:53:38 AM,6f5cb5f2-716c-4369-a812-7b1a8aac12cc,-8926759.3733,2973066.6665
20,0622160000060,7048,Alonzo and Tracy Mourning Senior High,Biscayne Bay,2601 NE 151st St, ,North Miami,33160,305-919-2000,,S,9-12,1849,1609,N,25.91647,-80.14704,936525.823492851,576244.87797828,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 10:17:37 AM,b66707b6-0673-4731-a3fb-1f125841ffd7,-8921927.9793,2988740.1563
21,0131360540050,5931,Phillis Wheatley Elementary, ,1801 NW 1st Pl, ,Miami,33136,305-573-2638,,E,PK-5,620,147,C,25.79353,-80.19817,919992.047349453,531453.482608564,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:52:03 AM,84916aff-0ca7-49e8-8d0c-2f971af555a5,-8927619.7119,2973532.1388
22,0131360610010,9606,Anna Brenner Meyers Telecommunication Complex, ,172 NE 15th St, ,Miami,33132,305-995-1717,,A,0,0,0, ,25.78929,-80.19188,922070.22002339,529922.430319138,E316899,6/11/2020 9:42:54 AM,E316899,3/23/2023 3:50:33 PM,b8f19c3d-f962-4755-bfbd-611a137373d9,-8926919.8432,2973007.0406
23,3049220020020,0271,Bent Tree Elementary, ,4861 SW 140th Ave, ,Miami-Dade,33175,305-221-0461,,E,PK-5,641,426,S,25.72133,-80.42071,846884.174001366,504827.273047768,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:30:55 AM,db9d05f5-537d-4b9b-8ff2-cde27907c928,-8952392.4923,2964607.957
24,0420250010261,7132,Hialeah-Miami Lakes Adult Education, ,7977 W 12th Ave, ,Hialeah,33014,305-823-1330,,O,0,0,0, ,25.89496,-80.30732,883882.874579825,568114.624658704,E316899,6/11/2020 9:42:54 AM,E316899,3/17/2023 3:39:26 PM,6793a04c-270f-4d17-8674-9cb54945572c,-8939770.3019,2986077.6826
25,3031090000210,0521,Broadmoor Elementary, ,3401 NW 83rd St, ,Miami-Dade,33147,305-691-0861,,E,PK-5,708,486,C,25.84959,-80.25367,901613.687268335,551721.187203437,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:35:48 AM,9c1494c7-27bb-4cb4-891c-afe1a98a62d7,-8933798.2754,2980464.6345
26,3049210021610,4691,Jane S. Roberts K-8 Center, ,14850 Cottonwood Cir, ,Miami-Dade,33185,305-220-8254,,E,PK-8,1053,636,S,25.7165,-80.4332,842777.243821543,503053.908566117,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 3:09:43 PM,db972452-7268-474c-b66d-8fd69d6055b5,-8953783.6725,2964011.1517
27,3530200000070,5101,John I. Smith K-8 Center, ,10415 NW 52nd St, ,Doral,33178,305-406-0220,,E,PK-8,1118,820,C,25.82051,-80.36469,865152.058050379,540960.35109742,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 3:12:18 PM,e9b59fb6-2edb-477b-85f8-050aee6ae240,-8946157.0325,2976868.1809
28,3421170010010,8101,Jan Mann Opportunity School, ,16101 NW 44th Ct, ,Miami Gardens,33054,305-625-0855,,ALT,6-12,393,66,AC,25.92121,-80.27275,895196.36630236,577717.977755651,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 3:09:35 PM,687a4f35-9e25-490e-85ec-56b6f2c31e1e,-8935921.5572,2989326.5845
29,3021060141680,5991,Charles David Wyche Jr. Elementary, ,5241 NW 195th Dr, ,Miami-Dade,33055,305-628-5776,,E,PK-5,937,564,N,25.94993,-80.28807,890102.524633616,588127.288741343,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:41:43 AM,3e278a3f-4787-4687-8552-09349f87587f,-8937627.5358,2992881.0909
30,3049090072930,6052,Miami Arts Studio 6-12 at Zelda Glazer, ,15015 SW 24th St, ,Miami-Dade,33185,305-485-2323,,S,PK6-12,1671,1795,S,25.7441,-80.43913,840783.850923683,513075.535711445,E316899,6/11/2020 9:42:54 AM,E316042,6/24/2025 11:10:32 AM,7117df32-eb37-4aca-b722-2a36931f7af1,-8954443.2382,2967421.2813
31,3421150061670,4541,Rainbow Park Elementary, ,15355 NW 19th Ave, ,Miami Gardens,33054,305-688-4631,,E,PK-5,560,173,N,25.91464,-80.23187,908645.041130885,575405.538457498,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:54:27 AM,a2aa657b-31c9-4e3f-833d-be150b37f941,-8931371.5012,2988513.0641
32,3060050130010,0261,Bel-Aire Elementary, ,10205 SW 194th St, ,Cutler Bay,33157,305-233-5401,,E,PK-5,616,316,S,25.58789,-80.35582,868483.535045482,456427.486250691,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:27:24 AM,163cb4bc-8b7a-4519-b7fa-c2e9070c2741,-8945169.1898,2948129.1021
33,0131270600010,0111,Maya Angelou Elementary, ,1850 NW 32nd St, ,Miami,33142,305-636-3480,,E,PK-5,713,648,C,25.80531,-80.22677,910555.124972664,535676.937076494,E316899,6/11/2020 9:42:54 AM,E316042,6/24/2025 10:21:29 AM,59de3e33-ec9d-40e7-94a7-3fb537cf515a,-8930803.8535,2974988.0239
34,3079050000180,7701,South Dade Senior High, ,28401 SW 167th Ave, ,Miami-Dade,33030,305-247-4244,,S,9-12,3302,3351,S,25.50137,-80.46048,834113.958565474,424826.932749256,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:46:34 PM,a83f03a7-3b4f-4c4a-aa5a-489cf7b15206,-8956820.3816,2937453.7389
35,3040210000311,7741,Southwest Miami Senior High, ,8855 SW 50th Ter, ,Miami-Dade,33165,305-274-0181,,S,9-12,2845,2573,S,25.72204,-80.33815,874063.952842679,505214.020440124,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:51:03 PM,07feb717-8d63-4ff1-9bf5-e7e0298734cb,-8943202.0985,2964695.9998
36,0341080071730,0961,Coral Gables Preparatory Academy,Main Campus,105 Minorca Ave, ,Coral Gables,33134,305-448-1731,,E,PK-8,479,0,C,25.75414,-80.25782,900445.64937925,517020.000099123,E316899,6/11/2020 9:42:54 AM,E316899,3/24/2023 1:08:45 PM,612b93bf-5936-45f8-9032-d93e465f3f7b,-8934259.8397,2968662.3152
37,3060180000370,4461,Pine Villa Elementary, ,21799 SW 117th Ct, ,Miami-Dade,33170,305-258-5366,,E,PK-5,834,235,S,25.56442,-80.38093,860246.485693812,447855.944226705,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:53:02 AM,e75abafc-56e3-49d9-be15-5544a3fedfba,-8947964.6203,2945231.9287
38,2720330010335,7191,Hialeah Gardens Senior High, ,11700 Hialeah Gardens Blvd, ,Hialeah Gardens,33018,305-698-5000,,S,9-12,2599,2896,N,25.87968,-80.35386,868608.435397599,562482.769805461,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 3:00:35 PM,6b68370a-b0a5-4301-91ff-d5f38b09c21c,-8944951.618,2984186.9844
39,3530070010210,0122,Dr. Rolando Espinosa K-8 Center, ,11250 NW 86th St, ,Doral,33178,305-889-5757,,E,PK-8,1381,595,C,25.85127,-80.38039,859936.312253524,552116.183427811,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 12:08:43 PM,96108aef-713e-4305-95c7-8c354834e33a,-8947904.2008,2980672.7809
40,3421080103530,0681,Carol City Elementary, ,4375 NW 173rd Dr, ,Miami Gardens,33055,305-621-0509,,E,PK-5,637,315,N,25.93335,-80.27156,895561.781726699,582132.520863764,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:39:48 AM,75d5ad9e-99f0-45ac-a83e-5f55913f0b74,-8935789.4905,2990829.1958
41,2720330010335,2371,West Hialeah Gardens Elementary, ,11990 NW 92nd Ave, ,Hialeah Gardens,33018,305-818-4000,,E,PK-5,1241,1124,N,25.88184,-80.34811,870496.401351355,563277.523598202,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 2:12:20 PM,882a110c-ca24-428b-8507-a39d3ceaaeb0,-8944311.0965,2984454.3469
42,0131240160010,4961,Shadowlawn Elementary, ,149 NW 49th St, ,Miami,33127,305-758-3673,,E,PK-5,398,0,C,25.82096,-80.19877,919734.022133213,541422.076025851,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:45:11 PM,98d727ac-c9fe-4f04-8c51-e8f1151fda6a,-8927686.47,2976923.8705
